Name,Category,Quantity,Initial Quantity,Notes,Created At
Latex Gloves,other,0,0,,"6/27/2026, 2:58:53 AM"
Test Tubes,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Petri Dish,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Wooden Splints,other,0,0,,"6/27/2026, 2:58:53 AM"
Weighing Bottles,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Water Taps,other,0,0,,"6/27/2026, 2:58:53 AM"
Beaker 1000ml,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Beaker 100ml,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Thermometer -10-110°C,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Boiling Tube,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Measuring Cylinder 100ml,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Crucible,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Glass Rods,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Rubber Delivery Tubes,other,0,0,,"6/27/2026, 2:58:53 AM"
Measuring Cylinder 50ml,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Conical Flask 250ml,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Beaker 250ml,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Measuring Cylinder 25ml,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Measuring Flask 1000ml,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Measuring Flask 6000ml,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Pipette 10ml,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Cork For Test Tubes,other,0,0,,"6/27/2026, 2:58:53 AM"
Pipette Filler,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Reagent Bottle 250ml,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Reagent Bottle 125ml,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Thermometer 0.2°C,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Plastic Keef,other,0,0,,"6/27/2026, 2:58:53 AM"
Funnels,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Pipette 25ml,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Measuring Cylinder 250ml,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Triangular Pipe Clay,other,0,0,,"6/27/2026, 2:58:53 AM"
Test Tubes Graduated,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Test Tube Holders,other,0,0,,"6/27/2026, 2:58:53 AM"
Test Tube Stand Wooden,other,0,0,,"6/27/2026, 2:58:53 AM"
Test Tube Stand Iron,other,0,0,,"6/27/2026, 2:58:53 AM"
Spirit Lamp,heating,0,0,,"6/27/2026, 2:58:53 AM"
Stopwatch,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Stew Spot,other,0,0,,"6/27/2026, 2:58:53 AM"
Wash Bottle,other,0,0,,"6/27/2026, 2:58:53 AM"
White Tile,other,0,0,,"6/27/2026, 2:58:53 AM"
Water Trough with Glass Plates,other,0,0,,"6/27/2026, 2:58:53 AM"
Beaker 500ml,glassware,0,0,,"6/27/2026, 2:58:53 AM"
Measuring Flask 2000ml,measurement,0,0,,"6/27/2026, 2:58:53 AM"
pH Meter,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Spatula,other,0,0,,"6/27/2026, 2:58:53 AM"
Thermometer 0.1°C,measurement,0,0,,"6/27/2026, 2:58:53 AM"
Wire Gauze,other,0,0,,"6/27/2026, 2:58:53 AM"
Gas Valve,other,0,0,,"6/27/2026, 2:58:53 AM"
Tissue Rolls,other,0,0,,"6/27/2026, 2:58:53 AM"
Permanent Markers,other,0,0,,"6/27/2026, 2:58:53 AM"
Stopwatch Cells,other,0,0,,"6/27/2026, 2:58:53 AM"
Electric Grinder,other,0,0,,"6/27/2026, 2:58:53 AM"
