Name,Formula,Quantity,Initial Quantity,Unit,Notes,QR Code,Created At
Copper(II) Sulphate,CuSO4,9960,10,g,,e83137ba-2b8e-4ad5-ad58-bd7c1bbcf922,"6/27/2026, 2:58:52 AM"
Ammonia (aq.),NH3,90,105,mL,,07d1d4cf-d619-4e6f-87fb-2bba0669065a,"6/27/2026, 2:58:52 AM"
Sodium Carbonate (Anhydrous),Na2CO3,1010,1020,g,,5cbaf268-6104-48fd-b734-18eaef9d8fcc,"6/27/2026, 2:58:52 AM"
Barium Chloride,BaCl2,9990,10,g,,c857d715-71b9-4281-b93b-2206130a9def,"6/27/2026, 2:58:52 AM"
Thymol Blue,C27H30O5S,0,0,g,,e36c33f9-aa5a-4ec6-8989-47a9859cee51,"6/27/2026, 2:58:52 AM"
Sodium Hydrogen Sulphate,NaHSO4,0,0,g,,2c10bce2-6d00-44f7-a961-e61ea1d57e5c,"6/27/2026, 2:58:52 AM"
Ethanal (Aldehyde-free),C2H4O,0,0,mL,,14c666da-cc9f-435e-bf07-61eaf1fe30d6,"6/27/2026, 2:58:52 AM"
Ammonium Metavanadate,NH4VO3,0,0,g,,76b6add4-03e0-461e-852f-0d3b14e9d95e,"6/27/2026, 2:58:52 AM"
2-Butanol,C4H10O,0,0,mL,,581110de-966c-47fb-8302-812b5e0785ff,"6/27/2026, 2:58:52 AM"
Bleach,NaClO,0,0,g,,5ca60e5e-b44a-4a85-b321-709ddf4f70fd,"6/27/2026, 2:58:52 AM"
Universal Indicator,Mixture,0,0,mL,,c63fa690-b2cc-4daa-9eea-a2f673d58187,"6/27/2026, 2:58:52 AM"
Starch,(C6H10O5)n,0,0,g,,f2db56f8-264a-4179-a5f3-ce1b8575f32b,"6/27/2026, 2:58:52 AM"
Sodium Carbonate (Decahydrate),Na2CO3.10H2O,0,0,g,,298a8564-8bdc-451e-8c2d-5c65b363221a,"6/27/2026, 2:58:52 AM"
Sodium Oxalate,Na2C2O4,0,0,g,,8f34745f-bc54-4502-9cd0-a92ac9b20446,"6/27/2026, 2:58:52 AM"
Sodium Thiosulphate,Na2S2O3,0,0,g,,27f46c0a-3796-424b-a126-4250fed29dde,"6/27/2026, 2:58:52 AM"
Sodium Nitrate,NaNO3,0,0,g,,fbb4268e-ad2d-403e-bca7-fc6fadf14d99,"6/27/2026, 2:58:52 AM"
Sulphuric Acid,H2SO4,0,0,mL,,608a69f6-598c-4bb7-b2c0-f8747c685277,"6/27/2026, 2:58:52 AM"
Sodium Hydrogen Carbonate,NaHCO3,0,0,g,,000bb4e2-5cae-4c02-812e-d585d1f8e795,"6/27/2026, 2:58:52 AM"
Sodium Chloride,NaCl,0,0,g,,6e0017d1-31b8-4eba-8451-baf9e86c3c85,"6/27/2026, 2:58:52 AM"
Manganese(II) Chloride,MnCl2,0,0,g,,56f73ede-313c-419b-bd50-ab0b7f20b459,"6/27/2026, 2:58:52 AM"
Charcoal Powder (Carbon),C,0,0,g,,3f70592c-969d-44b5-8611-f758edf65332,"6/27/2026, 2:58:52 AM"
Sodium Hydroxide,NaOH,0,0,g,,7a790ebe-4787-4cce-b9f7-e2bb5aa37dea,"6/27/2026, 2:58:52 AM"
Zinc Carbonate,ZnCO3,0,0,g,,f5623ae4-af1d-4fc6-9dc4-2b2f1c8f07c4,"6/27/2026, 2:58:52 AM"
Potassium Iodate,KIO3,0,0,g,,4d4748ca-3c21-4aa4-96c0-ee6f29a24e90,"6/27/2026, 2:58:52 AM"
Potassium Dichromate,K2Cr2O7,0,0,g,,b7d1892c-1103-441e-b1df-7185f4b23e59,"6/27/2026, 2:58:52 AM"
Potassium Bromide,KBr,0,0,g,,df840c1d-f14e-4f64-9929-0301e36d2f30,"6/27/2026, 2:58:52 AM"
Nitric Acid,HNO3,0,0,mL,,a6eae79a-d9c9-46e4-a1dd-1a3bfd471959,"6/27/2026, 2:58:52 AM"
Methanoic Acid (Formic Acid),HCOOH,0,0,mL,,3cae33f1-bfd2-4991-8766-0670b4d53352,"6/27/2026, 2:58:52 AM"
Manganese(IV) Oxide,MnO2,0,0,g,,e856f9e8-cc41-4333-8f0f-dfb20cfdce18,"6/27/2026, 2:58:52 AM"
Sodium Tetraborate (Borax),Na2B4O7.10H2O,0,0,g,,07b03150-ce95-415b-9a56-5c7bdf0bf390,"6/27/2026, 2:58:52 AM"
Magnesium Oxide,MgO,0,0,g,,48102662-c283-4f7c-8691-23609f09d2b7,"6/27/2026, 2:58:52 AM"
Magnesium Chloride,MgCl2,0,0,g,,12381aaa-e4f3-4b46-bce3-7b482ef1146a,"6/27/2026, 2:58:52 AM"
Sodium Nitrite,NaNO2,0,0,g,,ed7761ba-cf99-43d8-a851-2180484a9d27,"6/27/2026, 2:58:52 AM"
Aluminium Ammonium Sulphate,NH4Al(SO4)2,0,0,g,,545e03c8-b5a6-4051-817e-e18b4f9bf794,"6/27/2026, 2:58:52 AM"
Sucrose,C12H22O11,0,0,g,,00c38d3a-a37b-432e-a0b1-a4be1930927b,"6/27/2026, 2:58:52 AM"
Thymolphthalein,C28H30O4,0,0,g,,14790019-0154-45fa-a915-6db9ca76ad4d,"6/27/2026, 2:58:52 AM"
Iron Powder,Fe,0,0,g,,8adce146-0397-42ab-b7ff-836d3c566d80,"6/27/2026, 2:58:52 AM"
